source,target,weight
0,1,0.20492445423064853
0,3,0.35205494924397374
0,4,0.1387803065406687
0,5,0.1744460273713161
0,9,0.5045209958081054
0,12,0.6357872203513016
0,17,0.2803911905352195
0,19,0.12987953510872008
0,20,0.29114426660805764
0,22,0.14418305457001712
0,26,0.10725178756968815
0,27,0.17659660835654478
0,30,0.24609432810991316
0,31,0.2945877091801926
0,32,0.15290019026807145
0,37,0.14006636135197567
0,38,0.18226116226321717
0,41,0.22586653005666305
0,44,0.28123227119609995
0,47,0.2412541828126538
0,48,0.13118997099124152
0,49,0.15644693913799176
0,51,0.19032296182970893
0,54,0.2976181215761144
0,56,0.32624717756797067
0,59,0.24068422735643658
0,63,0.12292996886879622
0,64,0.1481147361020018
0,67,0.41452271898000476
0,70,0.4699685447091546
0,71,0.24414493025485529
0,72,0.25379337240733074
0,73,0.1471692716767498
0,74,0.15669621101543468
0,75,0.2924995803721412
0,76,0.19778630261683072
0,78,0.11357805697105137
0,80,0.5588727570000293
0,81,0.10035939722601889
0,83,0.20124630005643063
0,88,0.10049505502668644
0,89,0.48408116545805774
0,93,0.34113547808654865
0,94,0.09883183152745184
0,95,0.2322322592441956
0,97,0.14825711324549973
0,99,0.33050019418532595
0,102,0.3479192061548827
0,104,0.13913296863092867
0,105,0.3793297286823158
0,107,0.3152210621870532
0,109,0.12443237305952909
0,110,0.12491644580468537
0,112,0.11827919008731592
0,113,0.13399354832549976
0,115,0.5191693840443662
0,117,0.09593042327414597
0,118,0.18911588764936751
0,121,0.10094635857755024
0,124,0.21231542524081315
0,125,0.20015444655914125
0,126,0.10441952066052908
0,127,0.18143586799215256
0,131,0.4895368741678138
0,137,0.2371992942172848
0,138,0.36021513792721127
0,139,0.3435995591893538
0,141,0.15702309876659756
0,142,0.17910327226478845
0,144,0.15420966254929389
0,145,0.10574793361030349
0,147,0.2961540851843448
0,148,0.2917910149348854
0,149,0.12107160757088904
0,151,0.3590191129735064
0,162,0.1089087338400877
0,163,0.15419183237039058
0,164,0.2887740894359407
0,165,0.25697484959224803
0,167,0.10152664582264254
0,171,0.4093142997598922
0,172,0.5250905993031963
0,179,0.21674248645089225
0,180,0.1459569773668855
0,181,0.16363744949414816
0,183,0.1302907830492084
0,184,0.36891048761497525
0,188,0.3338795657407782
0,190,0.3092486562726881
0,193,0.24148092000046517
0,194,0.1405635651061285
0,197,0.1677137872418116
1,3,0.24756592353657295
1,4,0.30215255028488225
1,10,0.09668801367881522
1,12,0.35350721791628276
1,16,0.13713470501324967
1,17,0.872338422567209
1,20,0.345614090737516
1,27,0.27040029479463656
1,35,0.16530185486818716
1,38,0.16629160758719466
1,42,0.16952777509643657
1,43,0.1120105864034794
1,44,0.48438200577182106
1,46,0.21261553740977887
1,49,0.11683867294383804
1,52,0.36414294588219376
1,56,0.6075832383485008
1,60,0.1722110120942876
1,62,0.13025352279663024
1,63,0.13157720772627668
1,64,0.10118822725199139
1,67,0.15701634769780584
1,68,0.35311905020552614
1,70,0.12622805046582344
1,73,0.15456670957438948
1,74,0.2448500794523524
1,79,0.6424464587606328
1,80,0.18305321655877937
1,83,0.3324218839910771
1,87,0.3762778835741158
1,89,0.15052576383296404
1,93,0.13057599616514406
1,95,0.422381381320708
1,102,0.21013815377947723
1,103,0.5138265514205677
1,104,0.1924509244924618
1,105,0.10750344982274768
1,106,0.23438964363295417
1,107,0.24599329723932595
1,112,0.31046282312813883
1,113,0.13207957971629086
1,120,0.30084530649494734
1,125,0.23312922884110934
1,129,0.10658194136867712
1,130,0.15482635898347175
1,134,0.12667125152055705
1,136,0.24006285067397953
1,137,0.2866371868395897
1,138,0.1676008651379294
1,140,0.2577223544343593
1,144,0.10021501511294773
1,145,0.605157590358283
1,148,0.17700483097401154
1,150,0.15197191339407576
1,151,0.20646634967265734
1,158,0.103521575702078
1,161,0.24418099262776066
1,162,0.1137524269018124
1,164,0.3329828719083683
1,165,0.09888868549753566
1,168,0.3197596545298923
1,170,0.27420389304335635
1,172,0.5663528304226654
1,175,0.25199726134798134
1,177,0.5167047717254052
1,181,0.09789087362342547
1,183,0.10479592388435861
1,184,0.09665240657276031
1,186,0.23342847706043224
1,188,0.16132578817621626
1,189,0.15946736614811766
1,190,0.12250159729374474
1,192,0.1937986356893885
1,194,0.2294735234708053
2,4,0.12804640054745473
2,6,0.19130791080725879
2,11,0.17019921938112692
2,13,0.10657080381329705
2,16,0.17008628297236636
2,18,0.2582796744313126
2,19,0.10027305401488149
2,22,0.4652438234023981
2,26,0.11570024388285148
2,27,0.0963067280769737
2,28,0.10630062463320351
2,31,0.30834078345560234
2,33,0.32276439298096676
2,38,0.12216992173543958
2,43,0.17501261073386323
2,45,0.16300305211182683
2,51,0.11715446565490192
2,53,0.23711148946139443
2,57,0.24971852290367566
2,58,0.12182914690047812
2,63,0.1140841697444408
2,64,0.430414956910842
2,65,0.4011340935162266
2,66,0.1487805504550395
2,67,0.23063052539590742
2,68,0.13357536289842295
2,74,0.16654382949596522
2,77,0.3165762980451446
2,81,0.4614029490808295
2,82,0.14316848271762037
2,86,0.18106528692863608
2,88,0.13468793493492165
2,92,0.144181509601236
2,94,0.15593323241275003
2,96,0.15693429682775076
2,103,0.13157718457874706
2,105,0.2319730722533535
2,108,0.1551518729659656
2,109,0.12179069800553365
2,110,0.18022956238706475
2,114,0.20287695618424298
2,115,0.23850430489326285
2,116,0.10355446460066174
2,117,0.46854761980341325
2,119,0.45961301555287587
2,120,0.09941251315731675
2,121,0.2345673130539136
2,126,0.35515884896914646
2,127,0.31849173401709446
2,135,0.5961950383817627
2,139,0.11896900766176445
2,141,0.16219509620923864
2,142,0.17442893844026106
2,144,0.5047835145459084
2,148,0.17463875152791136
2,150,0.2094901877253476
2,151,0.1942863694778323
2,152,0.14203914278246976
2,155,0.1636450850114909
2,159,0.17978261623751376
2,163,0.22557704199227815
2,176,0.29759702372885616
2,177,0.1290504127716223
2,178,0.1738587417568578
2,180,0.12930184184264917
2,182,0.5398783503246118
2,183,0.42845040261536155
2,185,0.0969901831606716
2,191,0.10828948966013197
2,193,0.23384100529420826
2,197,0.4823029722663258
3,4,0.17747392533940756
3,8,0.12851932050864232
3,9,0.3067452369140025
3,10,0.11248312852530103
3,12,0.3075132731504576
3,13,0.20152139864593407
3,17,0.32481598417985036
3,19,0.10802849054432075
3,20,0.809835887480946
3,22,0.12408248801039809
3,27,0.38186654334546893
3,30,0.2009040090349535
3,31,0.11197803102217277
3,38,0.6274111881984702
3,41,0.15040070859309618
3,43,0.12562534297894884
3,44,0.36866656935441994
3,45,0.2381805118284564
3,47,0.1782376923698283
3,49,0.38946291082675977
3,51,0.1800139253251465
3,53,0.2641430327882954
3,56,0.3852704769072371
3,59,0.13036715887158937
3,63,0.09628605866713351
3,64,0.1581817776485357
3,65,0.09673134771997176
3,67,0.18452796845108796
3,69,0.16569999235802907
3,70,0.32298991795235293
3,71,0.1062805569228062
3,72,0.11869713989309102
3,73,0.15986411041854814
3,74,0.19616396147181275
3,75,0.16932223416231248
3,76,0.1545064657115659
3,77,0.13030748682627397
3,78,0.10647427131551865
3,79,0.0954963564083554
3,80,0.3103330758283745
3,81,0.130804762480554
3,82,0.12343627859586176
3,83,0.10525218145814204
3,89,0.6751599523774188
3,92,0.12501966851739602
3,93,0.18479847214148354
3,95,0.13389101752763743
3,99,0.17894732385670445
3,102,0.49111236864979296
3,103,0.10162171337316082
3,104,0.2772291685981944
3,105,0.25720778694041263
3,107,0.46339570845098105
3,108,0.10392232137868661
3,109,0.10221320600492939
3,110,0.2830017780299065
3,115,0.19672138405624695
3,118,0.12876414284311907
3,121,0.12851894892127236
3,123,0.13750952727406046
3,124,0.16152201047106657
3,125,0.16634776325918577
3,127,0.14118485750530413
3,131,0.4794410219299894
3,133,0.1691818620506284
3,137,0.4475775586238918
3,138,0.2557144697407455
3,139,0.21813401131588683
3,142,0.1624907118561655
3,144,0.15675403135906427
3,145,0.11236938447391988
3,146,0.13471612391518484
3,147,0.31942794798154894
3,148,0.11094562413520306
3,150,0.12962521764180535
3,151,0.3123364074210762
3,153,0.1084510077449387
3,158,0.25579783687416524
3,164,0.16802688143715055
3,165,0.30510225324724694
3,166,0.11689538894491958
3,171,0.3428042778399225
3,172,0.3728095509983593
3,176,0.12582569899293553
3,177,0.13549916319345262
3,179,0.2046499670335086
3,180,0.09990052285784023
3,181,0.16397470040469334
3,182,0.09897540458936085
3,183,0.13202207328343638
3,184,0.391720782737565
3,188,0.42989270595511486
3,190,0.36986737836540606
3,193,0.26201577016958344
3,197,0.12524468671019248
4,5,0.3784695723281143
4,6,0.29358504513482536
4,7,0.20073733259518317
4,8,0.2529975872323466
4,10,0.11622716558588307
4,11,0.28768192696662426
4,12,0.21796894900585848
4,13,0.14428614217258628
4,14,0.17384914506541296
4,15,0.2285712735717175
4,16,0.23141562135858096
4,17,0.27472618576184876
4,19,0.386878049553117
4,20,0.23147243530433995
4,21,0.1629620084819509
4,22,0.2225984730286733
4,23,0.22720081921737795
4,24,0.15755723144787198
4,26,0.29378233155661887
4,27,0.46383504997722674
4,28,0.12145004160721651
4,29,0.24290708432073932
4,31,0.2597923619620876
4,32,0.150800261459179
4,34,0.23972038261873385
4,36,0.29625084720387507
4,37,0.10362104015876253
4,38,0.2694975740113772
4,39,0.22280227136347178
4,42,0.14518035909747834
4,43,0.20202279822050376
4,44,0.29990933783994245
4,45,0.15238892210797905
4,48,0.30236682895848643
4,52,0.24228373451016327
4,53,0.37485242616450937
4,54,0.2557998302269676
4,56,0.17665866966643926
4,58,0.2809573599667604
4,59,0.19350190470383216
4,60,0.11286029409721426
4,61,0.186793075434399
4,62,0.3218550991220222
4,63,0.5257871463413673
4,64,0.1749873078577137
4,65,0.09599234734777874
4,67,0.23509491724094345
4,68,0.14606474622730076
4,71,0.22405325177012692
4,73,0.22230901259898747
4,74,0.7952033188669192
4,75,0.1606197400380805
4,77,0.465985833216439
4,78,0.20297596254116124
4,79,0.4321024719222341
4,80,0.12715603954015178
4,81,0.14782209033048313
4,82,0.10197970272122688
4,83,0.29200037430304615
4,86,0.11677139319402315
4,87,0.19573469525356516
4,88,0.30394667451063223
4,89,0.14312609852836422
4,91,0.27859458898016637
4,92,0.13996506008515142
4,93,0.2028355553719848
4,94,0.3354713719975845
4,95,0.28138860897528223
4,96,0.12888945382923817
4,98,0.18783564408082126
4,100,0.10255142877421079
4,101,0.18441674530287575
4,102,0.14791981416639818
4,103,0.2008045434910167
4,104,0.47365061867974045
4,105,0.1478339435100589
4,106,0.18260598333195924
4,109,0.27704591021713776
4,112,0.24668885243744645
4,113,0.34968246056049673
4,114,0.18652608121323583
4,115,0.1498377272658531
4,116,0.2132171394587671
4,117,0.2239583720274902
4,118,0.16886540795461924
4,120,0.11527925807465805
4,121,0.5126044866950925
4,123,0.3889427743257409
4,124,0.1660493946887436
4,125,0.2792601873935173
4,126,0.27532468618989814
4,129,0.11823063149567133
4,130,0.26401272068586973
4,131,0.11331628031962893
4,132,0.2728073578375025
4,134,0.39321700641568397
4,135,0.14261032219812136
4,136,0.18123910993810613
4,137,0.15766069047026127
4,140,0.20325638553047615
4,141,0.25874694748600185
4,142,0.10908760843792731
4,144,0.2122164622753752
4,145,0.4478037683753171
4,146,0.09663068338781923
4,147,0.1688059579197361
4,148,0.26492936946304635
4,149,0.14323024806205056
